"Timestap","Source IP Address","Destination IP Address","Source Port","Destination Port","Protocol","Packet Length","Hypertext Transfer Protocol","Host Name","Info"
"2024-07-02 14:22:07","192.168.1.37","200.25.144.1","49239","53","DNS","68","","","Standard query 0xfb70 A sider.ai"
"2024-07-02 14:22:07","192.168.1.37","200.25.144.1","58518","53","DNS","68","","","Standard query 0x8d0b HTTPS sider.ai"
"2024-07-02 14:22:07","172.67.29.97","192.168.1.37","443","63660","QUIC","1242","","","Initial, SCID=01c62cd4fc6826d1a0c453d4ff6822db938d3994, PKN: 0, ACK"
"2024-07-02 14:22:07","192.168.1.37","172.67.29.97","63660","443","QUIC","123","","","0-RTT, DCID=5f924f6468fc5845"
"2024-07-02 14:22:07","192.168.1.37","172.67.29.97","63660","443","QUIC","1292","","","0-RTT, DCID=01c62cd4fc6826d1a0c453d4ff6822db938d3994"
"2024-07-02 14:22:07","192.168.1.37","172.67.29.97","63660","443","QUIC","438","","","0-RTT, DCID=01c62cd4fc6826d1a0c453d4ff6822db938d3994"
"2024-07-02 14:22:07","172.67.29.97","192.168.1.37","443","63660","QUIC","1242","","","Initial, SCID=01c62cd4fc6826d1a0c453d4ff6822db938d3994, PKN: 1, ACK, CRYPTO"
"2024-07-02 14:22:07","172.67.29.97","192.168.1.37","443","63660","QUIC","1242","","","Handshake, SCID=01c62cd4fc6826d1a0c453d4ff6822db938d3994"
"2024-07-02 14:22:07","172.67.29.97","192.168.1.37","443","63660","QUIC","66","","","Protected Payload (KP0)"
"2024-07-02 14:22:07","172.67.29.97","192.168.1.37","443","63660","QUIC","66","","","Protected Payload (KP0)"
"2024-07-02 14:22:07","172.67.29.97","192.168.1.37","443","63660","QUIC","91","","","Protected Payload (KP0)"
"2024-07-02 14:22:07","192.168.1.37","172.67.29.97","63660","443","QUIC","1292","","","Handshake, DCID=01c62cd4fc6826d1a0c453d4ff6822db938d3994"
"2024-07-02 14:22:07","192.168.1.37","172.67.29.97","63660","443","QUIC","85","","","Protected Payload (KP0), DCID=01c62cd4fc6826d1a0c453d4ff6822db938d3994"
"2024-07-02 14:22:07","192.168.1.37","172.67.29.97","63660","443","QUIC","89","","","Protected Payload (KP0), DCID=01c62cd4fc6826d1a0c453d4ff6822db938d3994"
"2024-07-02 14:22:07","172.67.29.97","192.168.1.37","443","63660","QUIC","65","","","Protected Payload (KP0)"
"2024-07-02 14:22:07","172.67.29.97","192.168.1.37","443","63660","QUIC","66","","","Protected Payload (KP0)"
"2024-07-02 14:22:07","172.67.29.97","192.168.1.37","443","63660","QUIC","73","","","Protected Payload (KP0)"
"2024-07-02 14:22:07","200.25.144.1","192.168.1.37","53","49239","DNS","116","","","Standard query response 0xfb70 A sider.ai A 104.22.39.144 A 104.22.38.144 A 172.67.29.97"
"2024-07-02 14:22:07","200.25.144.1","192.168.1.37","53","58518","DNS","161","","","Standard query response 0x8d0b HTTPS sider.ai HTTPS"
"2024-07-02 14:22:07","192.168.1.37","104.22.39.144","58451","443","QUIC","1292","","","Initial, DCID=c8cc7feafc60986c, PKN: 1, CRYPTO"
"2024-07-02 14:22:07","192.168.1.37","104.22.39.144","58451","443","QUIC","1292","","","Initial, DCID=c8cc7feafc60986c, PKN: 2, PADDING, PING, PING, CRYPTO, CRYPTO, PADDING, PING, PADDING, CRYPTO, PING, PADDING, PING, PADDING, PING, PING, PADDING, PING"
"2024-07-02 14:22:07","192.168.1.37","104.22.39.144","58451","443","QUIC","123","","","0-RTT, DCID=c8cc7feafc60986c"
"2024-07-02 14:22:07","192.168.1.37","104.22.39.144","58451","443","QUIC","425","","","0-RTT, DCID=c8cc7feafc60986c"
"2024-07-02 14:22:07","104.22.39.144","192.168.1.37","443","58451","QUIC","1242","","","Initial, SCID=01929bf8f3a5e1bb9190e4f8f7a5e58a1f85b4ce, PKN: 0, ACK"
"2024-07-02 14:22:07","104.22.39.144","192.168.1.37","443","58451","QUIC","1242","","","Initial, SCID=01929bf8f3a5e1bb9190e4f8f7a5e58a1f85b4ce, PKN: 1, ACK, CRYPTO"
"2024-07-02 14:22:07","104.22.39.144","192.168.1.37","443","58451","QUIC","1242","","","Handshake, SCID=01929bf8f3a5e1bb9190e4f8f7a5e58a1f85b4ce"
"2024-07-02 14:22:07","104.22.39.144","192.168.1.37","443","58451","QUIC","66","","","Protected Payload (KP0)"
"2024-07-02 14:22:07","104.22.39.144","192.168.1.37","443","58451","QUIC","66","","","Protected Payload (KP0)"
"2024-07-02 14:22:07","104.22.39.144","192.168.1.37","443","58451","QUIC","91","","","Protected Payload (KP0)"
"2024-07-02 14:22:07","192.168.1.37","104.22.39.144","58451","443","QUIC","1292","","","Handshake, DCID=01929bf8f3a5e1bb9190e4f8f7a5e58a1f85b4ce"
"2024-07-02 14:22:07","192.168.1.37","104.22.39.144","58451","443","QUIC","127","","","Handshake, DCID=01929bf8f3a5e1bb9190e4f8f7a5e58a1f85b4ce"
"2024-07-02 14:22:07","192.168.1.37","104.22.39.144","58451","443","QUIC","85","","","Protected Payload (KP0), DCID=01929bf8f3a5e1bb9190e4f8f7a5e58a1f85b4ce"
"2024-07-02 14:22:07","192.168.1.37","104.22.39.144","58451","443","QUIC","89","","","Protected Payload (KP0), DCID=01929bf8f3a5e1bb9190e4f8f7a5e58a1f85b4ce"
"2024-07-02 14:22:07","192.168.1.37","172.67.29.97","63660","443","QUIC","86","","","Protected Payload (KP0), DCID=01c62cd4fc6826d1a0c453d4ff6822db938d3994"
"2024-07-02 14:22:07","172.67.29.97","192.168.1.37","443","63660","QUIC","234","","","Protected Payload (KP0)"
"2024-07-02 14:22:07","104.22.39.144","192.168.1.37","443","58451","QUIC","64","","","Protected Payload (KP0)"
"2024-07-02 14:22:07","192.168.1.37","172.67.29.97","63660","443","QUIC","86","","","Protected Payload (KP0), DCID=01c62cd4fc6826d1a0c453d4ff6822db938d3994"
"2024-07-02 14:22:07","104.22.39.144","192.168.1.37","443","58451","QUIC","70","","","Protected Payload (KP0)"
"2024-07-02 14:22:07","192.168.1.37","104.22.39.144","58451","443","QUIC","86","","","Protected Payload (KP0), DCID=01929bf8f3a5e1bb9190e4f8f7a5e58a1f85b4ce"
"2024-07-02 14:22:07","104.22.39.144","192.168.1.37","443","58451","QUIC","226","","","Protected Payload (KP0)"
"2024-07-02 14:22:07","192.168.1.37","104.22.39.144","58451","443","QUIC","85","","","Protected Payload (KP0), DCID=01929bf8f3a5e1bb9190e4f8f7a5e58a1f85b4ce"
"2024-07-02 14:22:07","AzureWaveTec_50:42:9f","Broadcast","","","ARP","42","","","Who has 192.168.1.101? Tell 192.168.1.37"
"2024-07-02 14:22:08","192.168.1.37","142.250.78.78","55596","443","UDP","584","","","55596  >  443 Len=542"
"2024-07-02 14:22:08","142.250.78.78","192.168.1.37","443","55596","UDP","75","","","443  >  55596 Len=33"
"2024-07-02 14:22:08","192.168.1.37","142.250.78.78","55596","443","UDP","76","","","55596  >  443 Len=34"
"2024-07-02 14:22:08","142.250.78.78","192.168.1.37","443","55596","UDP","1148","","","443  >  55596 Len=1106"
"2024-07-02 14:22:08","142.250.78.78","192.168.1.37","443","55596","UDP","313","","","443  >  55596 Len=271"
"2024-07-02 14:22:08","192.168.1.37","142.250.78.78","55596","443","UDP","82","","","55596  >  443 Len=40"
"2024-07-02 14:22:08","192.168.1.37","142.250.78.78","55596","443","UDP","76","","","55596  >  443 Len=34"
"2024-07-02 14:22:08","192.168.1.37","216.239.38.180","59322","443","UDP","792","","","59322  >  443 Len=750"
"2024-07-02 14:22:08","192.168.1.37","255.255.255.255","1046","1046","UDP","67","","","1046  >  1046 Len=25"
"2024-07-02 14:22:08","142.250.78.78","192.168.1.37","443","55596","UDP","68","","","443  >  55596 Len=26"
"2024-07-02 14:22:08","216.239.38.180","192.168.1.37","443","59322","UDP","75","","","443  >  59322 Len=33"
"2024-07-02 14:22:08","192.168.1.37","216.239.38.180","59322","443","UDP","75","","","59322  >  443 Len=33"
"2024-07-02 14:22:08","216.239.38.180","192.168.1.37","443","59322","UDP","68","","","443  >  59322 Len=26"
"2024-07-02 14:22:08","192.168.1.37","216.239.38.180","59322","443","UDP","76","","","59322  >  443 Len=34"
"2024-07-02 14:22:08","216.239.38.180","192.168.1.37","443","59322","UDP","559","","","443  >  59322 Len=517"
"2024-07-02 14:22:08","216.239.38.180","192.168.1.37","443","59322","UDP","65","","","443  >  59322 Len=23"
"2024-07-02 14:22:08","192.168.1.37","216.239.38.180","59322","443","UDP","83","","","59322  >  443 Len=41"
"2024-07-02 14:22:08","192.168.1.37","216.239.38.180","59322","443","UDP","76","","","59322  >  443 Len=34"
"2024-07-02 14:22:08","216.239.38.180","192.168.1.37","443","59322","UDP","68","","","443  >  59322 Len=26"
"2024-07-02 14:22:08","192.168.1.37","200.25.144.1","59323","53","DNS","75","","","Standard query 0xb1f1 A www.youtube.com"
"2024-07-02 14:22:08","192.168.1.37","200.25.144.1","54478","53","DNS","75","","","Standard query 0x2b7d HTTPS www.youtube.com"
"2024-07-02 14:22:08","200.25.144.1","192.168.1.37","53","59323","DNS","368","","","Standard query response 0xb1f1 A www.youtube.com CNAME youtube-ui.l.google.com A 142.250.78.110 A 142.250.78.46 A 142.251.132.110 A 172.217.173.206 A 142.250.218.142 A 172.217.30.206 A 172.217.28.110 A 172.217.172.14 A 142.250.218.110 A 142.250.78.78 A 142.250.78.142 A 142.251.132.78 A 142.250.78.14 A 142.251.135.174 A 142.250.78.174 A 172.217.173.46"
"2024-07-02 14:22:08","192.168.1.37","142.250.78.110","62608","443","QUIC","1292","","","Initial, DCID=fa405722bc745871, PKN: 1, CRYPTO"
"2024-07-02 14:22:08","192.168.1.37","142.250.78.110","62608","443","QUIC","1292","","","Initial, DCID=fa405722bc745871, PKN: 2, CRYPTO"
"2024-07-02 14:22:08","192.168.1.37","142.250.78.110","62608","443","QUIC","1292","","","Initial, DCID=fa405722bc745871, PKN: 3, PING, CRYPTO, PING, PING, PADDING, CRYPTO, CRYPTO, CRYPTO, PING, PADDING, PING, CRYPTO, CRYPTO, PADDING, CRYPTO, PADDING, PING"
"2024-07-02 14:22:08","192.168.1.37","142.250.78.110","62608","443","QUIC","122","","","0-RTT, DCID=fa405722bc745871"
"2024-07-02 14:22:08","192.168.1.37","142.250.78.110","62608","443","QUIC","1288","","","0-RTT, DCID=fa405722bc745871"
"2024-07-02 14:22:08","192.168.1.37","142.250.78.110","62608","443","QUIC","920","","","0-RTT, DCID=fa405722bc745871"
"2024-07-02 14:22:08","142.250.78.110","192.168.1.37","443","62608","QUIC","1292","","","Initial, SCID=fa405722bc745871, PKN: 1, ACK, PADDING"
"2024-07-02 14:22:08","142.250.78.110","192.168.1.37","443","62608","QUIC","1292","","","Initial, SCID=fa405722bc745871, PKN: 2, ACK, PADDING"
"2024-07-02 14:22:08","192.168.1.37","142.250.78.110","62608","443","QUIC","1292","","","Initial, DCID=fa405722bc745871, PKN: 8, PADDING, PING, PADDING"
"2024-07-02 14:22:08","142.250.78.110","192.168.1.37","443","62608","QUIC","351","","","Protected Payload (KP0)"
"2024-07-02 14:22:08","142.250.78.110","192.168.1.37","443","62608","QUIC","983","","","Protected Payload (KP0)"
"2024-07-02 14:22:08","142.250.78.110","192.168.1.37","443","62608","QUIC","1292","","","Initial, SCID=fa405722bc745871, PKN: 3, CRYPTO, PADDING"
"2024-07-02 14:22:08","142.250.78.110","192.168.1.37","443","62608","QUIC","68","","","Protected Payload (KP0)"
"2024-07-02 14:22:08","142.250.78.110","192.168.1.37","443","62608","QUIC","66","","","Protected Payload (KP0)"
"2024-07-02 14:22:08","200.25.144.1","192.168.1.37","53","54478","DNS","127","","","Standard query response 0x2b7d HTTPS www.youtube.com CNAME youtube-ui.l.google.com HTTPS"
"2024-07-02 14:22:08","192.168.1.37","142.250.78.110","62608","443","QUIC","1292","","","Handshake, DCID=fa405722bc745871"
"2024-07-02 14:22:08","192.168.1.37","142.250.78.110","62608","443","QUIC","115","","","Handshake, DCID=fa405722bc745871"
"2024-07-02 14:22:08","142.250.78.110","192.168.1.37","443","62608","QUIC","1292","","","Initial, SCID=fa405722bc745871, PKN: 9, ACK, CRYPTO, PADDING"
"2024-07-02 14:22:08","142.250.78.110","192.168.1.37","443","62608","QUIC","356","","","Protected Payload (KP0)"
"2024-07-02 14:22:08","192.168.1.37","142.250.78.110","62608","443","QUIC","155","","","Protected Payload (KP0), DCID=fa405722bc745871"
"2024-07-02 14:22:08","142.250.78.110","192.168.1.37","443","62608","QUIC","162","","","Protected Payload (KP0)"
"2024-07-02 14:22:08","192.168.1.37","142.250.78.110","62608","443","QUIC","75","","","Protected Payload (KP0), DCID=fa405722bc745871"
"2024-07-02 14:22:08","142.250.78.110","192.168.1.37","443","62608","QUIC","1288","","","Protected Payload (KP0)"
"2024-07-02 14:22:08","192.168.1.37","142.250.78.110","62608","443","QUIC","77","","","Protected Payload (KP0), DCID=fa405722bc745871"
"2024-07-02 14:22:08","142.250.78.110","192.168.1.37","443","62608","QUIC","966","","","Protected Payload (KP0)"
"2024-07-02 14:22:08","142.250.78.110","192.168.1.37","443","62608","QUIC","1288","","","Protected Payload (KP0)"
"2024-07-02 14:22:08","142.250.78.110","192.168.1.37","443","62608","QUIC","1292","","","Protected Payload (KP0)"
"2024-07-02 14:22:08","192.168.1.37","142.250.78.110","62608","443","QUIC","79","","","Protected Payload (KP0), DCID=fa405722bc745871"
"2024-07-02 14:22:08","192.168.1.37","142.250.78.110","62608","443","QUIC","81","","","Protected Payload (KP0), DCID=fa405722bc745871"
"2024-07-02 14:22:08","192.168.1.37","142.250.78.110","62608","443","QUIC","75","","","Protected Payload (KP0), DCID=fa405722bc745871"
"2024-07-02 14:22:08","142.250.78.110","192.168.1.37","443","62608","QUIC","1292","","","Protected Payload (KP0)"
"2024-07-02 14:22:08","192.168.1.37","142.250.78.110","62608","443","QUIC","77","","","Protected Payload (KP0), DCID=fa405722bc745871"
"2024-07-02 14:22:08","142.250.78.110","192.168.1.37","443","62608","QUIC","1287","","","Protected Payload (KP0)"
"2024-07-02 14:22:08","142.250.78.110","192.168.1.37","443","62608","QUIC","1292","","","Protected Payload (KP0)"
"2024-07-02 14:22:08","192.168.1.37","142.250.78.110","62608","443","QUIC","76","","","Protected Payload (KP0), DCID=fa405722bc745871"
"2024-07-02 14:22:08","192.168.1.37","142.250.78.110","62608","443","QUIC","77","","","Protected Payload (KP0), DCID=fa405722bc745871"
"2024-07-02 14:22:08","142.250.78.110","192.168.1.37","443","62608","QUIC","1292","","","Protected Payload (KP0)"
"2024-07-02 14:22:08","142.250.78.110","192.168.1.37","443","62608","QUIC","1292","","","Protected Payload (KP0)"
"2024-07-02 14:22:08","192.168.1.37","142.250.78.110","62608","443","QUIC","75","","","Protected Payload (KP0), DCID=fa405722bc745871"
"2024-07-02 14:22:08","142.250.78.110","192.168.1.37","443","62608","QUIC","1292","","","Protected Payload (KP0)"
"2024-07-02 14:22:08","142.250.78.110","192.168.1.37","443","62608","QUIC","1292","","","Protected Payload (KP0)"
"2024-07-02 14:22:08","142.250.78.110","192.168.1.37","443","62608","QUIC","455","","","Protected Payload (KP0)"
"2024-07-02 14:22:08","192.168.1.37","142.250.78.110","62608","443","QUIC","75","","","Protected Payload (KP0), DCID=fa405722bc745871"
"2024-07-02 14:22:08","192.168.1.37","142.250.78.110","62608","443","QUIC","73","","","Protected Payload (KP0), DCID=fa405722bc745871"
"2024-07-02 14:22:08","142.250.78.110","192.168.1.37","443","62608","QUIC","1287","","","Protected Payload (KP0)"
"2024-07-02 14:22:08","142.250.78.110","192.168.1.37","443","62608","QUIC","1292","","","Protected Payload (KP0)"
"2024-07-02 14:22:08","192.168.1.37","142.250.78.110","62608","443","QUIC","75","","","Protected Payload (KP0), DCID=fa405722bc745871"
"2024-07-02 14:22:08","142.250.78.110","192.168.1.37","443","62608","QUIC","1292","","","Protected Payload (KP0)"
"2024-07-02 14:22:08","142.250.78.110","192.168.1.37","443","62608","QUIC","1292","","","Protected Payload (KP0)"
"2024-07-02 14:22:08","192.168.1.37","142.250.78.110","62608","443","QUIC","74","","","Protected Payload (KP0), DCID=fa405722bc745871"
"2024-07-02 14:22:08","142.250.78.110","192.168.1.37","443","62608","QUIC","1292","","","Protected Payload (KP0)"
"2024-07-02 14:22:08","142.250.78.110","192.168.1.37","443","62608","QUIC","1292","","","Protected Payload (KP0)"
"2024-07-02 14:22:08","142.250.78.110","192.168.1.37","443","62608","QUIC","1292","","","Protected Payload (KP0)"
"2024-07-02 14:22:08","192.168.1.37","142.250.78.110","62608","443","QUIC","73","","","Protected Payload (KP0), DCID=fa405722bc745871"
"2024-07-02 14:22:08","192.168.1.37","142.250.78.110","62608","443","QUIC","73","","","Protected Payload (KP0), DCID=fa405722bc745871"
"2024-07-02 14:22:08","142.250.78.110","192.168.1.37","443","62608","QUIC","1292","","","Protected Payload (KP0)"
"2024-07-02 14:22:09","142.250.78.110","192.168.1.37","443","62608","QUIC","1292","","","Protected Payload (KP0)"
"2024-07-02 14:22:09","142.250.78.110","192.168.1.37","443","62608","QUIC","1292","","","Protected Payload (KP0)"
"2024-07-02 14:22:09","192.168.1.37","142.250.78.110","62608","443","QUIC","73","","","Protected Payload (KP0), DCID=fa405722bc745871"
"2024-07-02 14:22:09","142.250.78.110","192.168.1.37","443","62608","QUIC","1292","","","Protected Payload (KP0)"
"2024-07-02 14:22:09","142.250.78.110","192.168.1.37","443","62608","QUIC","1292","","","Protected Payload (KP0)"
"2024-07-02 14:22:09","192.168.1.37","142.250.78.110","62608","443","QUIC","74","","","Protected Payload (KP0), DCID=fa405722bc745871"
"2024-07-02 14:22:09","142.250.78.110","192.168.1.37","443","62608","QUIC","1292","","","Protected Payload (KP0)"
"2024-07-02 14:22:09","142.250.78.110","192.168.1.37","443","62608","QUIC","1292","","","Protected Payload (KP0)"
"2024-07-02 14:22:09","142.250.78.110","192.168.1.37","443","62608","QUIC","1292","","","Protected Payload (KP0)"
"2024-07-02 14:22:09","142.250.78.110","192.168.1.37","443","62608","QUIC","1292","","","Protected Payload (KP0)"
"2024-07-02 14:22:09","142.250.78.110","192.168.1.37","443","62608","QUIC","773","","","Protected Payload (KP0)"
"2024-07-02 14:22:09","142.250.78.110","192.168.1.37","443","62608","QUIC","1292","","","Protected Payload (KP0)"
"2024-07-02 14:22:09","192.168.1.37","142.250.78.110","62608","443","QUIC","73","","","Protected Payload (KP0), DCID=fa405722bc745871"
"2024-07-02 14:22:09","192.168.1.37","142.250.78.110","62608","443","QUIC","73","","","Protected Payload (KP0), DCID=fa405722bc745871"
"2024-07-02 14:22:09","192.168.1.37","142.250.78.110","62608","443","QUIC","75","","","Protected Payload (KP0), DCID=fa405722bc745871"
"2024-07-02 14:22:09","192.168.1.37","142.250.78.110","62608","443","QUIC","73","","","Protected Payload (KP0), DCID=fa405722bc745871"
"2024-07-02 14:22:09","192.168.1.37","200.25.144.1","50535","53","DNS","71","","","Standard query 0xeed3 A i.ytimg.com"
"2024-07-02 14:22:09","192.168.1.37","200.63.212.110","50535","53","DNS","71","","","Standard query 0xeed3 A i.ytimg.com"
"2024-07-02 14:22:09","142.250.78.110","192.168.1.37","443","62608","QUIC","591","","","Protected Payload (KP0)"
"2024-07-02 14:22:09","142.250.78.110","192.168.1.37","443","62608","QUIC","1285","","","Protected Payload (KP0)"
"2024-07-02 14:22:09","142.250.78.110","192.168.1.37","443","62608","QUIC","1285","","","Protected Payload (KP0)"
"2024-07-02 14:22:09","142.250.78.110","192.168.1.37","443","62608","QUIC","1292","","","Protected Payload (KP0)"
"2024-07-02 14:22:09","142.250.78.110","192.168.1.37","443","62608","QUIC","1292","","","Protected Payload (KP0)"
"2024-07-02 14:22:09","142.250.78.110","192.168.1.37","443","62608","QUIC","1292","","","Protected Payload (KP0)"
"2024-07-02 14:22:09","142.250.78.110","192.168.1.37","443","62608","QUIC","424","","","Protected Payload (KP0)"
"2024-07-02 14:22:09","142.250.78.110","192.168.1.37","443","62608","QUIC","1292","","","Protected Payload (KP0)"
"2024-07-02 14:22:09","142.250.78.110","192.168.1.37","443","62608","QUIC","1285","","","Protected Payload (KP0)"
"2024-07-02 14:22:09","142.250.78.110","192.168.1.37","443","62608","QUIC","1292","","","Protected Payload (KP0)"
"2024-07-02 14:22:09","192.168.1.37","142.250.78.110","62608","443","QUIC","75","","","Protected Payload (KP0), DCID=fa405722bc745871"
"2024-07-02 14:22:09","192.168.1.37","142.250.78.110","62608","443","QUIC","74","","","Protected Payload (KP0), DCID=fa405722bc745871"
"2024-07-02 14:22:09","192.168.1.37","142.250.78.110","62608","443","QUIC","78","","","Protected Payload (KP0), DCID=fa405722bc745871"
"2024-07-02 14:22:09","192.168.1.37","142.250.78.110","62608","443","QUIC","75","","","Protected Payload (KP0), DCID=fa405722bc745871"
"2024-07-02 14:22:09","192.168.1.37","142.250.78.110","62608","443","QUIC","75","","","Protected Payload (KP0), DCID=fa405722bc745871"
"2024-07-02 14:22:09","192.168.1.37","142.250.78.110","62608","443","QUIC","73","","","Protected Payload (KP0), DCID=fa405722bc745871"
"2024-07-02 14:22:09","192.168.1.37","142.250.78.110","62608","443","QUIC","75","","","Protected Payload (KP0), DCID=fa405722bc745871"
"2024-07-02 14:22:09","142.250.78.110","192.168.1.37","443","62608","QUIC","1292","","","Protected Payload (KP0)"
"2024-07-02 14:22:09","142.250.78.110","192.168.1.37","443","62608","QUIC","1292","","","Protected Payload (KP0)"
"2024-07-02 14:22:09","142.250.78.110","192.168.1.37","443","62608","QUIC","1292","","","Protected Payload (KP0)"
"2024-07-02 14:22:09","142.250.78.110","192.168.1.37","443","62608","QUIC","1292","","","Protected Payload (KP0)"
"2024-07-02 14:22:09","142.250.78.110","192.168.1.37","443","62608","QUIC","1292","","","Protected Payload (KP0)"
"2024-07-02 14:22:09","142.250.78.110","192.168.1.37","443","62608","QUIC","1292","","","Protected Payload (KP0)"
"2024-07-02 14:22:09","142.250.78.110","192.168.1.37","443","62608","QUIC","1292","","","Protected Payload (KP0)"
"2024-07-02 14:22:09","142.250.78.110","192.168.1.37","443","62608","QUIC","1292","","","Protected Payload (KP0)"
"2024-07-02 14:22:09","142.250.78.110","192.168.1.37","443","62608","QUIC","1292","","","Protected Payload (KP0)"
"2024-07-02 14:22:09","142.250.78.110","192.168.1.37","443","62608","QUIC","1292","","","Protected Payload (KP0)"
"2024-07-02 14:22:09","142.250.78.110","192.168.1.37","443","62608","QUIC","1292","","","Protected Payload (KP0)"
"2024-07-02 14:22:09","142.250.78.110","192.168.1.37","443","62608","QUIC","1292","","","Protected Payload (KP0)"
"2024-07-02 14:22:09","142.250.78.110","192.168.1.37","443","62608","QUIC","1292","","","Protected Payload (KP0)"
"2024-07-02 14:22:09","142.250.78.110","192.168.1.37","443","62608","QUIC","1292","","","Protected Payload (KP0)"
"2024-07-02 14:22:09","142.250.78.110","192.168.1.37","443","62608","QUIC","1292","","","Protected Payload (KP0)"
"2024-07-02 14:22:09","142.250.78.110","192.168.1.37","443","62608","QUIC","1292","","","Protected Payload (KP0)"
"2024-07-02 14:22:09","142.250.78.110","192.168.1.37","443","62608","QUIC","1292","","","Protected Payload (KP0)"
