"Timestap","Source IP Address","Destination IP Address","Source Port","Destination Port","Protocol","Packet Length","Hypertext Transfer Protocol","Host Name","Info"
"2024-06-24 16:30:06","8.8.8.8","192.168.1.41","443","63459","UDP","70","","","443  >  63459 Len=28"
"2024-06-24 16:30:06","192.168.1.41","8.8.8.8","63459","443","UDP","74","","","63459  >  443 Len=32"
"2024-06-24 16:30:06","Routerboardc_5e:b9:50","Spanning-tree-(for-bridges)_00","","","0x2f00","61","","","Ethernet II"
"2024-06-24 16:30:06","192.168.1.43","239.255.255.250","1900","1900","SSDP","549","","","NOTIFY * HTTP/1.1 "
"2024-06-24 16:30:06","fe80::103c:1ae1:8556:446f","ff02::c","1900","1900","SSDP","578","","","NOTIFY * HTTP/1.1 "
"2024-06-24 16:30:06","142.250.218.138","192.168.1.41","443","58040","QUIC","1292","","","Initial, SCID=f30593640ca14906, PKN: 1, ACK, PADDING"
"2024-06-24 16:30:06","142.250.218.138","192.168.1.41","443","58040","QUIC","1292","","","Handshake, SCID=f30593640ca14906"
"2024-06-24 16:30:06","142.250.218.138","192.168.1.41","443","58040","QUIC","859","","","Protected Payload (KP0)"
"2024-06-24 16:30:06","142.250.218.138","192.168.1.41","443","58040","QUIC","223","","","Protected Payload (KP0)"
"2024-06-24 16:30:06","142.250.218.138","192.168.1.41","443","58040","QUIC","66","","","Protected Payload (KP0)"
"2024-06-24 16:30:06","192.168.1.41","142.250.218.138","58040","443","QUIC","121","","","Handshake, DCID=f30593640ca14906"
"2024-06-24 16:30:06","192.168.1.41","142.250.218.138","58040","443","QUIC","73","","","Protected Payload (KP0), DCID=f30593640ca14906"
"2024-06-24 16:30:06","192.168.1.41","172.217.28.110","54547","443","QUIC","1292","","","Initial, DCID=29df976726c2c7c9, PKN: 1, CRYPTO, CRYPTO, PADDING, CRYPTO, CRYPTO, CRYPTO, PADDING, CRYPTO, CRYPTO, CRYPTO, PING"
"2024-06-24 16:30:06","192.168.1.41","172.217.28.110","54547","443","QUIC","119","","","0-RTT, DCID=29df976726c2c7c9"
"2024-06-24 16:30:06","192.168.1.41","142.250.218.138","58040","443","QUIC","74","","","Protected Payload (KP0), DCID=f30593640ca14906"
"2024-06-24 16:30:06","192.168.1.43","239.255.255.250","59799","1900","SSDP","179","","","M-SEARCH * HTTP/1.1 "
"2024-06-24 16:30:06","192.168.1.43","239.255.255.250","59799","1900","SSDP","179","","","M-SEARCH * HTTP/1.1 "
"2024-06-24 16:30:06","142.250.218.138","192.168.1.41","443","58040","QUIC","162","","","Protected Payload (KP0)"
"2024-06-24 16:30:06","142.250.218.138","192.168.1.41","443","58040","QUIC","64","","","Protected Payload (KP0)"
"2024-06-24 16:30:06","192.168.1.41","142.250.218.138","58040","443","QUIC","73","","","Protected Payload (KP0), DCID=f30593640ca14906"
"2024-06-24 16:30:06","142.250.218.138","192.168.1.41","443","58040","QUIC","241","","","Protected Payload (KP0)"
"2024-06-24 16:30:06","142.250.218.138","192.168.1.41","443","58040","QUIC","63","","","Protected Payload (KP0)"
"2024-06-24 16:30:06","192.168.1.41","142.250.218.138","58040","443","QUIC","77","","","Protected Payload (KP0), DCID=f30593640ca14906"
"2024-06-24 16:30:06","192.168.1.41","142.250.218.138","53035","443","UDP","382","","","53035  >  443 Len=340"
"2024-06-24 16:30:06","192.168.1.41","142.250.218.138","58040","443","QUIC","74","","","Protected Payload (KP0), DCID=f30593640ca14906"
"2024-06-24 16:30:06","172.217.28.110","192.168.1.41","443","54547","QUIC","1292","","","Initial, SCID=e9df976726c2c7c9, PKN: 1, ACK, PADDING"
"2024-06-24 16:30:06","172.217.28.110","192.168.1.41","443","54547","QUIC","1292","","","Handshake, SCID=e9df976726c2c7c9"
"2024-06-24 16:30:06","172.217.28.110","192.168.1.41","443","54547","QUIC","670","","","Protected Payload (KP0)"
"2024-06-24 16:30:06","172.217.28.110","192.168.1.41","443","54547","QUIC","67","","","Protected Payload (KP0)"
"2024-06-24 16:30:06","192.168.1.41","172.217.28.110","54547","443","QUIC","121","","","Handshake, DCID=e9df976726c2c7c9"
"2024-06-24 16:30:06","192.168.1.41","172.217.28.110","54547","443","QUIC","73","","","Protected Payload (KP0), DCID=e9df976726c2c7c9"
"2024-06-24 16:30:06","192.168.1.41","172.217.28.110","54547","443","QUIC","1288","","","Protected Payload (KP0), DCID=e9df976726c2c7c9"
"2024-06-24 16:30:06","192.168.1.41","172.217.28.110","54547","443","QUIC","1225","","","Protected Payload (KP0), DCID=e9df976726c2c7c9"
"2024-06-24 16:30:06","192.168.1.41","8.8.8.8","61856","53","DNS","70","","","Standard query 0x78ea A dns.google"
"2024-06-24 16:30:06","192.168.1.41","8.8.8.8","52098","53","DNS","70","","","Standard query 0xa494 HTTPS dns.google"
"2024-06-24 16:30:06","8.8.8.8","192.168.1.41","53","61856","DNS","102","","","Standard query response 0x78ea A dns.google A 8.8.8.8 A 8.8.4.4"
"2024-06-24 16:30:06","Routerboardc_5e:b9:50","Broadcast","","","ARP","42","","","Who has 192.168.1.250? Tell 192.168.1.1"
"2024-06-24 16:30:06","192.168.1.43","239.255.255.250","1900","1900","SSDP","492","","","NOTIFY * HTTP/1.1 "
"2024-06-24 16:30:06","192.168.1.41","8.8.8.8","60675","443","TCP","66","","","60675  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"2024-06-24 16:30:06","fe80::103c:1ae1:8556:446f","ff02::c","1900","1900","SSDP","521","","","NOTIFY * HTTP/1.1 "
"2024-06-24 16:30:06","142.250.218.138","192.168.1.41","443","58040","QUIC","67","","","Protected Payload (KP0)"
"2024-06-24 16:30:06","8.8.8.8","192.168.1.41","53","52098","DNS","146","","","Standard query response 0xa494 HTTPS dns.google SOA ns1.zdns.google"
"2024-06-24 16:30:06","8.8.8.8","192.168.1.41","443","60675","TCP","66","","","443  >  60675 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460 SACK_PERM WS=128"
"2024-06-24 16:30:06","142.250.218.138","192.168.1.41","443","53035","UDP","71","","","443  >  53035 Len=29"
"2024-06-24 16:30:06","192.168.1.41","8.8.8.8","60675","443","TCP","54","","","60675  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"2024-06-24 16:30:06","192.168.1.41","8.8.8.8","60675","443","TCP","1514","","","60675  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"2024-06-24 16:30:06","192.168.1.41","8.8.8.8","60675","443","TLSv1.3","378","","","Client Hello (SNI=dns.google)"
"2024-06-24 16:30:06","8.8.8.8","192.168.1.41","443","60675","TCP","54","","","443  >  60675 [ACK] Seq=1 Ack=1461 Win=17536 Len=0"
"2024-06-24 16:30:06","8.8.8.8","192.168.1.41","443","60675","TCP","54","","","443  >  60675 [ACK] Seq=1 Ack=1785 Win=20480 Len=0"
"2024-06-24 16:30:06","172.217.28.110","192.168.1.41","443","54547","QUIC","162","","","Protected Payload (KP0)"
"2024-06-24 16:30:06","172.217.28.110","192.168.1.41","443","54547","QUIC","67","","","Protected Payload (KP0)"
"2024-06-24 16:30:06","192.168.1.41","142.250.218.138","53035","443","UDP","75","","","53035  >  443 Len=33"
"2024-06-24 16:30:06","172.217.28.110","192.168.1.41","443","54547","QUIC","71","","","Protected Payload (KP0)"
"2024-06-24 16:30:06","192.168.1.41","172.217.28.110","54547","443","QUIC","74","","","Protected Payload (KP0), DCID=e9df976726c2c7c9"
"2024-06-24 16:30:06","142.250.218.138","192.168.1.41","443","53035","UDP","127","","","443  >  53035 Len=85"
"2024-06-24 16:30:06","192.168.1.41","142.250.218.138","53035","443","UDP","78","","","53035  >  443 Len=36"
"2024-06-24 16:30:06","8.8.8.8","192.168.1.41","443","60675","TLSv1.3","1514","","","Server Hello, Change Cipher Spec"
"2024-06-24 16:30:06","8.8.8.8","192.168.1.41","443","60675","TCP","1394","","","443  >  60675 [PSH, ACK] Seq=1461 Ack=1785 Win=20480 Len=1340 [TCP segment of a reassembled PDU]"
"2024-06-24 16:30:06","192.168.1.41","8.8.8.8","60675","443","TCP","54","","","60675  >  443 [ACK] Seq=1785 Ack=2801 Win=65536 Len=0"
"2024-06-24 16:30:06","8.8.8.8","192.168.1.41","443","60675","TCP","1454","","","443  >  60675 [PSH, ACK] Seq=2801 Ack=1785 Win=20480 Len=1400 [TCP segment of a reassembled PDU]"
"2024-06-24 16:30:06","8.8.8.8","192.168.1.41","443","60675","TLSv1.3","1342","","","Application Data"
"2024-06-24 16:30:06","192.168.1.41","8.8.8.8","60675","443","TCP","54","","","60675  >  443 [ACK] Seq=1785 Ack=5489 Win=65536 Len=0"
"2024-06-24 16:30:06","172.217.28.110","192.168.1.41","443","54547","QUIC","603","","","Protected Payload (KP0)"
"2024-06-24 16:30:06","192.168.1.41","172.217.28.110","54547","443","QUIC","77","","","Protected Payload (KP0), DCID=e9df976726c2c7c9"
"2024-06-24 16:30:06","172.217.28.110","192.168.1.41","443","54547","QUIC","232","","","Protected Payload (KP0)"
"2024-06-24 16:30:06","192.168.1.41","172.217.28.110","54547","443","QUIC","74","","","Protected Payload (KP0), DCID=e9df976726c2c7c9"
"2024-06-24 16:30:06","142.250.218.138","192.168.1.41","443","53035","UDP","67","","","443  >  53035 Len=25"
"2024-06-24 16:30:06","172.217.28.110","192.168.1.41","443","54547","QUIC","66","","","Protected Payload (KP0)"
"2024-06-24 16:30:06","192.168.1.41","52.226.139.185","49415","443","TLSv1.2","153","","","Application Data"
"2024-06-24 16:30:06","52.226.139.185","192.168.1.41","443","49415","TCP","54","","","443  >  49415 [ACK] Seq=1 Ack=100 Win=209 Len=0"
"2024-06-24 16:30:06","192.168.1.41","52.112.127.143","60613","443","TLSv1.2","110","","","Application Data"
"2024-06-24 16:30:06","52.112.127.143","192.168.1.41","443","60613","TCP","54","","","443  >  60613 [ACK] Seq=1 Ack=57 Win=320 Len=0"
"2024-06-24 16:30:06","192.168.1.43","239.255.255.250","1900","1900","SSDP","547","","","NOTIFY * HTTP/1.1 "
"2024-06-24 16:30:06","fe80::103c:1ae1:8556:446f","ff02::c","1900","1900","SSDP","576","","","NOTIFY * HTTP/1.1 "
"2024-06-24 16:30:06","192.168.1.41","8.8.8.8","64038","53","DNS","85","","","Standard query 0x78b9 A searchhighlights.bing.com"
"2024-06-24 16:30:06","192.168.1.41","20.69.137.228","60651","443","TCP","1514","","","60651  >  443 [ACK] Seq=1 Ack=1 Win=253 Len=1460 [TCP segment of a reassembled PDU]"
"2024-06-24 16:30:06","192.168.1.41","20.69.137.228","60651","443","TLSv1.2","231","","","Application Data"
"2024-06-24 16:30:06","8.8.8.8","192.168.1.41","53","64038","DNS","174","","","Standard query response 0x78b9 A searchhighlights.bing.com CNAME searchhighlights-bing-com.b-0005.b-msedge.net CNAME b-0005.b-msedge.net A 13.107.6.158"
"2024-06-24 16:30:06","52.226.139.185","192.168.1.41","443","49415","TLSv1.2","223","","","Application Data"
"2024-06-24 16:30:06","52.112.127.143","192.168.1.41","443","60613","TLSv1.2","99","","","Application Data"
"2024-06-24 16:30:06","192.168.1.41","13.107.6.158","60676","443","TCP","66","","","60676  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"2024-06-24 16:30:06","20.69.137.228","192.168.1.41","443","60651","TCP","54","","","443  >  60651 [ACK] Seq=1 Ack=1461 Win=451 Len=0"
"2024-06-24 16:30:06","20.69.137.228","192.168.1.41","443","60651","TCP","54","","","443  >  60651 [ACK] Seq=1 Ack=1638 Win=473 Len=0"
"2024-06-24 16:30:06","13.107.6.158","192.168.1.41","443","60676","TCP","66","","","443  >  60676 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460 SACK_PERM WS=128"
"2024-06-24 16:30:06","192.168.1.41","13.107.6.158","60676","443","TCP","54","","","60676  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"2024-06-24 16:30:06","192.168.1.41","13.107.6.158","60676","443","TLSv1.3","804","","","Client Hello (SNI=searchhighlights.bing.com)"
"2024-06-24 16:30:06","13.107.6.158","192.168.1.41","443","60676","TCP","54","","","443  >  60676 [ACK] Seq=1 Ack=751 Win=16128 Len=0"
"2024-06-24 16:30:06","192.168.1.41","52.226.139.185","49415","443","TCP","54","","","49415  >  443 [ACK] Seq=100 Ack=170 Win=254 Len=0"
"2024-06-24 16:30:06","192.168.1.41","52.112.127.143","60613","443","TCP","54","","","60613  >  443 [ACK] Seq=57 Ack=46 Win=255 Len=0"
"2024-06-24 16:30:06","192.168.1.41","142.250.218.138","53035","443","UDP","71","","","53035  >  443 Len=29"
"2024-06-24 16:30:07","192.168.1.43","239.255.255.250","56733","1900","SSDP","217","","","M-SEARCH * HTTP/1.1 "
"2024-06-24 16:30:07","fe80::103c:1ae1:8556:446f","ff02::c","59793","1900","SSDP","189","","","M-SEARCH * HTTP/1.1 "
"2024-06-24 16:30:07","192.168.1.43","239.255.255.250","59799","1900","SSDP","175","","","M-SEARCH * HTTP/1.1 "
"2024-06-24 16:30:07","142.250.218.138","192.168.1.41","443","53035","UDP","67","","","443  >  53035 Len=25"
"2024-06-24 16:30:07","fe80::103c:1ae1:8556:446f","ff02::c","59793","1900","SSDP","183","","","M-SEARCH * HTTP/1.1 "
"2024-06-24 16:30:07","192.168.1.43","239.255.255.250","59799","1900","SSDP","169","","","M-SEARCH * HTTP/1.1 "
"2024-06-24 16:30:07","fe80::103c:1ae1:8556:446f","ff02::c","59793","1900","SSDP","183","","","M-SEARCH * HTTP/1.1 "
"2024-06-24 16:30:07","192.168.1.43","239.255.255.250","59799","1900","SSDP","169","","","M-SEARCH * HTTP/1.1 "
"2024-06-24 16:30:07","192.168.1.41","142.250.218.138","53035","443","UDP","71","","","53035  >  443 Len=29"
"2024-06-24 16:30:07","Routerboardc_5e:b9:50","Broadcast","","","ARP","42","","","Who has 192.168.1.44? Tell 192.168.1.1"
"2024-06-24 16:30:07","192.168.1.43","239.255.255.250","59799","1900","SSDP","179","","","M-SEARCH * HTTP/1.1 "
"2024-06-24 16:30:07","20.69.137.228","192.168.1.41","443","60651","TCP","2974","","","443  >  60651 [PSH, ACK] Seq=1 Ack=1638 Win=473 Len=2920 [TCP segment of a reassembled PDU]"
"2024-06-24 16:30:07","192.168.1.41","20.69.137.228","60651","443","TCP","54","","","60651  >  443 [ACK] Seq=1638 Ack=2921 Win=256 Len=0"
"2024-06-24 16:30:07","192.168.1.43","239.255.255.250","1900","1900","SSDP","539","","","NOTIFY * HTTP/1.1 "
"2024-06-24 16:30:07","fe80::103c:1ae1:8556:446f","ff02::c","1900","1900","SSDP","568","","","NOTIFY * HTTP/1.1 "
"2024-06-24 16:30:07","20.69.137.228","192.168.1.41","443","60651","TCP","11734","","","443  >  60651 [PSH, ACK] Seq=2921 Ack=1638 Win=473 Len=11680 [TCP segment of a reassembled PDU]"
"2024-06-24 16:30:07","13.107.6.158","192.168.1.41","443","60676","TLSv1.3","153","","","Hello Retry Request, Change Cipher Spec"
"2024-06-24 16:30:07","192.168.1.41","20.69.137.228","60651","443","TCP","54","","","60651  >  443 [ACK] Seq=1638 Ack=14601 Win=256 Len=0"
"2024-06-24 16:30:07","192.168.1.41","13.107.6.158","60676","443","TCP","54","","","60676  >  443 [ACK] Seq=751 Ack=100 Win=261888 Len=0"
"2024-06-24 16:30:07","20.69.137.228","192.168.1.41","443","60651","TLSv1.2","4434","","","Application Data"
"2024-06-24 16:30:07","192.168.1.41","20.69.137.228","60651","443","TCP","54","","","60651  >  443 [ACK] Seq=1638 Ack=18981 Win=256 Len=0"
"2024-06-24 16:30:07","192.168.1.41","13.107.6.158","60676","443","TLSv1.3","875","","","Change Cipher Spec, Client Hello (SNI=searchhighlights.bing.com)"
"2024-06-24 16:30:07","20.69.137.228","192.168.1.41","443","60651","TCP","2974","","","443  >  60651 [ACK] Seq=18981 Ack=1638 Win=473 Len=2920 [TCP segment of a reassembled PDU]"
"2024-06-24 16:30:07","20.69.137.228","192.168.1.41","443","60651","TLSv1.2","1001","","","Application Data"
"2024-06-24 16:30:07","192.168.1.41","20.69.137.228","60651","443","TCP","54","","","60651  >  443 [ACK] Seq=1638 Ack=22848 Win=256 Len=0"
"2024-06-24 16:30:07","13.107.6.158","192.168.1.41","443","60676","TCP","54","","","443  >  60676 [ACK] Seq=100 Ack=1572 Win=17792 Len=0"
"2024-06-24 16:30:07","192.168.1.41","8.8.8.8","60677","443","TCP","66","","","60677  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"2024-06-24 16:30:07","8.8.8.8","192.168.1.41","443","60677","TCP","66","","","443  >  60677 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460 SACK_PERM WS=128"
"2024-06-24 16:30:07","192.168.1.41","8.8.8.8","60677","443","TCP","54","","","60677  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"2024-06-24 16:30:07","192.168.1.41","8.8.8.8","60677","443","TCP","1514","","","60677  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"2024-06-24 16:30:07","192.168.1.41","8.8.8.8","60677","443","TLSv1.3","314","","","Client Hello (SNI=dns.google)"
"2024-06-24 16:30:07","8.8.8.8","192.168.1.41","443","60677","TCP","54","","","443  >  60677 [ACK] Seq=1 Ack=1461 Win=17536 Len=0"
"2024-06-24 16:30:07","8.8.8.8","192.168.1.41","443","60677","TCP","54","","","443  >  60677 [ACK] Seq=1 Ack=1721 Win=20480 Len=0"
"2024-06-24 16:30:07","192.168.1.41","20.69.137.228","60651","443","TCP","1514","","","60651  >  443 [ACK] Seq=1638 Ack=22848 Win=256 Len=1460 [TCP segment of a reassembled PDU]"
"2024-06-24 16:30:07","192.168.1.41","20.69.137.228","60651","443","TLSv1.2","228","","","Application Data"
"2024-06-24 16:30:07","Routerboardc_5e:b9:50","Broadcast","","","ARP","42","","","Who has 192.168.1.250? Tell 192.168.1.1"
"2024-06-24 16:30:07","13.107.6.158","192.168.1.41","443","60676","TLSv1.3","2974","","","Server Hello"
"2024-06-24 16:30:07","192.168.1.41","13.107.6.158","60676","443","TCP","54","","","60676  >  443 [ACK] Seq=1572 Ack=3020 Win=262144 Len=0"
"2024-06-24 16:30:07","13.107.6.158","192.168.1.41","443","60676","TCP","2974","","","443  >  60676 [PSH, ACK] Seq=3020 Ack=1572 Win=17792 Len=2920 [TCP segment of a reassembled PDU]"
"2024-06-24 16:30:07","13.107.6.158","192.168.1.41","443","60676","TLSv1.3","1447","","","Application Data"
"2024-06-24 16:30:07","142.250.218.138","192.168.1.41","443","53035","UDP","67","","","443  >  53035 Len=25"
"2024-06-24 16:30:07","8.8.8.8","192.168.1.41","443","60677","TLSv1.3","1514","","","Server Hello, Change Cipher Spec"
"2024-06-24 16:30:07","8.8.8.8","192.168.1.41","443","60677","TCP","1394","","","443  >  60677 [PSH, ACK] Seq=1461 Ack=1721 Win=20480 Len=1340 [TCP segment of a reassembled PDU]"
"2024-06-24 16:30:07","8.8.8.8","192.168.1.41","443","60677","TCP","1514","","","443  >  60677 [ACK] Seq=2801 Ack=1721 Win=20480 Len=1460 [TCP segment of a reassembled PDU]"
"2024-06-24 16:30:07","8.8.8.8","192.168.1.41","443","60677","TLSv1.3","1282","","","Application Data"
"2024-06-24 16:30:07","192.168.1.41","13.107.6.158","60676","443","TCP","54","","","60676  >  443 [ACK] Seq=1572 Ack=7333 Win=262144 Len=0"
"2024-06-24 16:30:07","192.168.1.41","8.8.8.8","60677","443","TCP","54","","","60677  >  443 [ACK] Seq=1721 Ack=5489 Win=65536 Len=0"
"2024-06-24 16:30:07","20.69.137.228","192.168.1.41","443","60651","TCP","54","","","443  >  60651 [ACK] Seq=22848 Ack=3098 Win=496 Len=0"
"2024-06-24 16:30:07","20.69.137.228","192.168.1.41","443","60651","TCP","54","","","443  >  60651 [ACK] Seq=22848 Ack=3272 Win=519 Len=0"
"2024-06-24 16:30:07","192.168.1.41","13.107.6.158","60676","443","TLSv1.3","128","","","Application Data"
"2024-06-24 16:30:07","192.168.1.41","13.107.6.158","60676","443","TLSv1.3","134","","","Application Data"
"2024-06-24 16:30:07","192.168.1.41","13.107.6.158","60676","443","TLSv1.3","546","","","Application Data"
"2024-06-24 16:30:07","13.107.6.158","192.168.1.41","443","60676","TCP","54","","","443  >  60676 [ACK] Seq=7333 Ack=1646 Win=17792 Len=0"
"2024-06-24 16:30:07","13.107.6.158","192.168.1.41","443","60676","TCP","54","","","443  >  60676 [ACK] Seq=7333 Ack=1726 Win=17792 Len=0"
"2024-06-24 16:30:07","13.107.6.158","192.168.1.41","443","60676","TCP","54","","","443  >  60676 [ACK] Seq=7333 Ack=2218 Win=19456 Len=0"
"2024-06-24 16:30:07","192.168.1.41","142.250.218.138","53035","443","UDP","71","","","53035  >  443 Len=29"
"2024-06-24 16:30:07","13.107.6.158","192.168.1.41","443","60676","TLSv1.3","513","","","Application Data"
"2024-06-24 16:30:07","13.107.6.158","192.168.1.41","443","60676","TLSv1.3","116","","","Application Data"
"2024-06-24 16:30:07","13.107.6.158","192.168.1.41","443","60676","TLSv1.3","85","","","Application Data"
"2024-06-24 16:30:07","13.107.6.158","192.168.1.41","443","60676","TLSv1.3","655","","","Application Data"
"2024-06-24 16:30:07","20.69.137.228","192.168.1.41","443","60651","TLSv1.2","444","","","Application Data"
"2024-06-24 16:30:07","192.168.1.41","13.107.6.158","60676","443","TCP","54","","","60676  >  443 [ACK] Seq=2218 Ack=8486 Win=260864 Len=0"
"2024-06-24 16:30:07","192.168.1.41","13.107.6.158","60676","443","TLSv1.3","85","","","Application Data"
"2024-06-24 16:30:07","192.168.1.41","13.107.6.158","60676","443","TCP","1514","","","60676  >  443 [ACK] Seq=2249 Ack=8486 Win=260864 Len=1460 [TCP segment of a reassembled PDU]"
"2024-06-24 16:30:07","192.168.1.41","13.107.6.158","60676","443","TCP","1514","","","60676  >  443 [ACK] Seq=3709 Ack=8486 Win=260864 Len=1460 [TCP segment of a reassembled PDU]"
"2024-06-24 16:30:07","192.168.1.41","13.107.6.158","60676","443","TLSv1.3","1321","","","Application Data"
"2024-06-24 16:30:07","192.168.1.41","13.107.6.158","60676","443","TLSv1.3","247","","","Application Data"
"2024-06-24 16:30:07","192.168.1.41","13.107.6.158","60676","443","TLSv1.3","85","","","Application Data"
"2024-06-24 16:30:07","13.107.6.158","192.168.1.41","443","60676","TCP","54","","","443  >  60676 [ACK] Seq=8486 Ack=2249 Win=19456 Len=0"
"2024-06-24 16:30:07","192.168.1.41","20.69.137.228","60651","443","TCP","1514","","","60651  >  443 [ACK] Seq=3272 Ack=23238 Win=255 Len=1460 [TCP segment of a reassembled PDU]"
"2024-06-24 16:30:07","192.168.1.41","20.69.137.228","60651","443","TLSv1.2","228","","","Application Data"
"2024-06-24 16:30:07","13.107.6.158","192.168.1.41","443","60676","TCP","54","","","443  >  60676 [ACK] Seq=8486 Ack=3709 Win=22400 Len=0"
"2024-06-24 16:30:07","13.107.6.158","192.168.1.41","443","60676","TCP","54","","","443  >  60676 [ACK] Seq=8486 Ack=5169 Win=25344 Len=0"
"2024-06-24 16:30:07","13.107.6.158","192.168.1.41","443","60676","TCP","54","","","443  >  60676 [ACK] Seq=8486 Ack=6436 Win=28160 Len=0"
"2024-06-24 16:30:07","13.107.6.158","192.168.1.41","443","60676","TCP","54","","","443  >  60676 [ACK] Seq=8486 Ack=6629 Win=31104 Len=0"
"2024-06-24 16:30:07","13.107.6.158","192.168.1.41","443","60676","TCP","54","","","443  >  60676 [ACK] Seq=8486 Ack=6660 Win=31104 Len=0"
"2024-06-24 16:30:07","20.69.137.228","192.168.1.41","443","60651","TCP","54","","","443  >  60651 [ACK] Seq=23238 Ack=4732 Win=542 Len=0"
"2024-06-24 16:30:07","20.69.137.228","192.168.1.41","443","60651","TCP","54","","","443  >  60651 [ACK] Seq=23238 Ack=4906 Win=565 Len=0"
"2024-06-24 16:30:08","192.168.1.43","224.0.0.251","5353","5353","MDNS","82","","","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"2024-06-24 16:30:08","fe80::103c:1ae1:8556:446f","ff02::fb","5353","5353","MDNS","102","","","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"2024-06-24 16:30:08","192.168.1.43","239.255.255.250","1900","1900","SSDP","483","","","NOTIFY * HTTP/1.1 "
"2024-06-24 16:30:08","fe80::103c:1ae1:8556:446f","ff02::c","1900","1900","SSDP","512","","","NOTIFY * HTTP/1.1 "
"2024-06-24 16:30:08","192.168.1.43","224.0.0.251","5353","5353","MDNS","82","","","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"2024-06-24 16:30:08","fe80::103c:1ae1:8556:446f","ff02::fb","5353","5353","MDNS","102","","","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"2024-06-24 16:30:08","142.250.218.138","192.168.1.41","443","53035","UDP","67","","","443  >  53035 Len=25"
