"No.","Time","Source","Src port","Destination","Dst port","Protocol","Length","Host Name","Info"
"18","0.738598","192.168.1.41","58040","142.250.218.138","443","QUIC","121","","0-RTT, DCID=530593640ca14906"
"19","0.739029","192.168.1.41","58040","142.250.218.138","443","QUIC","568","","0-RTT, DCID=530593640ca14906"
"20","0.769021","8.8.8.8","443","192.168.1.41","63459","UDP","65","","443  >  63459 Len=23"
"21","0.769021","8.8.8.8","443","192.168.1.41","63459","UDP","70","","443  >  63459 Len=28"
"22","0.801041","192.168.1.41","63459","8.8.8.8","443","UDP","74","","63459  >  443 Len=32"
"23","0.813395","Routerboardc_5e:b9:50","","Spanning-tree-(for-bridges)_00","","0x2f00","61","","Ethernet II"
"24","0.822309","192.168.1.43","1900","239.255.255.250","1900","SSDP","549","","NOTIFY * HTTP/1.1 "
"25","0.827475","fe80::103c:1ae1:8556:446f","1900","ff02::c","1900","SSDP","578","","NOTIFY * HTTP/1.1 "
"26","0.834227","142.250.218.138","443","192.168.1.41","58040","QUIC","1292","","Initial, SCID=f30593640ca14906, PKN: 1, ACK, PADDING"
"27","0.863456","142.250.218.138","443","192.168.1.41","58040","QUIC","1292","","Handshake, SCID=f30593640ca14906"
"28","0.863456","142.250.218.138","443","192.168.1.41","58040","QUIC","859","","Protected Payload (KP0)"
"29","0.863456","142.250.218.138","443","192.168.1.41","58040","QUIC","223","","Protected Payload (KP0)"
"30","0.863456","142.250.218.138","443","192.168.1.41","58040","QUIC","66","","Protected Payload (KP0)"
"31","0.864460","192.168.1.41","58040","142.250.218.138","443","QUIC","121","","Handshake, DCID=f30593640ca14906"
"32","0.864632","192.168.1.41","58040","142.250.218.138","443","QUIC","73","","Protected Payload (KP0), DCID=f30593640ca14906"
"33","0.886636","192.168.1.41","54547","172.217.28.110","443","QUIC","1292","","Initial, DCID=29df976726c2c7c9, PKN: 1, CRYPTO, CRYPTO, PADDING, CRYPTO, CRYPTO, CRYPTO, PADDING, CRYPTO, CRYPTO, CRYPTO, PING"
"34","0.886938","192.168.1.41","54547","172.217.28.110","443","QUIC","119","","0-RTT, DCID=29df976726c2c7c9"
"35","0.896792","192.168.1.41","58040","142.250.218.138","443","QUIC","74","","Protected Payload (KP0), DCID=f30593640ca14906"
"36","0.918741","192.168.1.43","59799","239.255.255.250","1900","SSDP","179","","M-SEARCH * HTTP/1.1 "
"37","0.921403","192.168.1.43","59799","239.255.255.250","1900","SSDP","179","","M-SEARCH * HTTP/1.1 "
"38","0.944706","142.250.218.138","443","192.168.1.41","58040","QUIC","162","","Protected Payload (KP0)"
"39","0.944706","142.250.218.138","443","192.168.1.41","58040","QUIC","64","","Protected Payload (KP0)"
"40","0.945421","192.168.1.41","58040","142.250.218.138","443","QUIC","73","","Protected Payload (KP0), DCID=f30593640ca14906"
"41","0.946362","142.250.218.138","443","192.168.1.41","58040","QUIC","241","","Protected Payload (KP0)"
"42","0.946362","142.250.218.138","443","192.168.1.41","58040","QUIC","63","","Protected Payload (KP0)"
"43","0.946779","192.168.1.41","58040","142.250.218.138","443","QUIC","77","","Protected Payload (KP0), DCID=f30593640ca14906"
"44","0.949085","192.168.1.41","53035","142.250.218.138","443","UDP","382","","53035  >  443 Len=340"
"45","0.978074","192.168.1.41","58040","142.250.218.138","443","QUIC","74","","Protected Payload (KP0), DCID=f30593640ca14906"
"46","0.982739","172.217.28.110","443","192.168.1.41","54547","QUIC","1292","","Initial, SCID=e9df976726c2c7c9, PKN: 1, ACK, PADDING"
"47","1.008176","172.217.28.110","443","192.168.1.41","54547","QUIC","1292","","Handshake, SCID=e9df976726c2c7c9"
"48","1.008176","172.217.28.110","443","192.168.1.41","54547","QUIC","670","","Protected Payload (KP0)"
"49","1.008176","172.217.28.110","443","192.168.1.41","54547","QUIC","67","","Protected Payload (KP0)"
"50","1.009310","192.168.1.41","54547","172.217.28.110","443","QUIC","121","","Handshake, DCID=e9df976726c2c7c9"
"51","1.009516","192.168.1.41","54547","172.217.28.110","443","QUIC","73","","Protected Payload (KP0), DCID=e9df976726c2c7c9"
"52","1.010204","192.168.1.41","54547","172.217.28.110","443","QUIC","1288","","Protected Payload (KP0), DCID=e9df976726c2c7c9"
"53","1.010281","192.168.1.41","54547","172.217.28.110","443","QUIC","1225","","Protected Payload (KP0), DCID=e9df976726c2c7c9"
"54","1.011071","192.168.1.41","61856","8.8.8.8","53","DNS","70","","Standard query 0x78ea A dns.google"
"55","1.011354","192.168.1.41","52098","8.8.8.8","53","DNS","70","","Standard query 0xa494 HTTPS dns.google"
"56","1.014222","8.8.8.8","53","192.168.1.41","61856","DNS","102","","Standard query response 0x78ea A dns.google A 8.8.8.8 A 8.8.4.4"
"57","1.020852","Routerboardc_5e:b9:50","","Broadcast","","ARP","42","","Who has 192.168.1.250? Tell 192.168.1.1"
"58","1.025854","192.168.1.43","1900","239.255.255.250","1900","SSDP","492","","NOTIFY * HTTP/1.1 "
"59","1.026855","192.168.1.41","60675","8.8.8.8","443","TCP","66","","60675  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"60","1.037315","fe80::103c:1ae1:8556:446f","1900","ff02::c","1900","SSDP","521","","NOTIFY * HTTP/1.1 "
"61","1.044786","142.250.218.138","443","192.168.1.41","58040","QUIC","67","","Protected Payload (KP0)"
"62","1.049619","8.8.8.8","53","192.168.1.41","52098","DNS","146","","Standard query response 0xa494 HTTPS dns.google SOA ns1.zdns.google"
"63","1.049994","8.8.8.8","443","192.168.1.41","60675","TCP","66","","443  >  60675 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460 SACK_PERM WS=128"
"64","1.049994","142.250.218.138","443","192.168.1.41","53035","UDP","71","","443  >  53035 Len=29"
"65","1.050146","192.168.1.41","60675","8.8.8.8","443","TCP","54","","60675  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"66","1.051181","192.168.1.41","60675","8.8.8.8","443","TCP","1514","","60675  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"67","1.051181","192.168.1.41","60675","8.8.8.8","443","TLSv1.3","378","","Client Hello (SNI=dns.google)"
"68","1.055280","8.8.8.8","443","192.168.1.41","60675","TCP","54","","443  >  60675 [ACK] Seq=1 Ack=1461 Win=17536 Len=0"
"69","1.055280","8.8.8.8","443","192.168.1.41","60675","TCP","54","","443  >  60675 [ACK] Seq=1 Ack=1785 Win=20480 Len=0"
"70","1.080072","172.217.28.110","443","192.168.1.41","54547","QUIC","162","","Protected Payload (KP0)"
"71","1.080072","172.217.28.110","443","192.168.1.41","54547","QUIC","67","","Protected Payload (KP0)"
"72","1.080721","192.168.1.41","53035","142.250.218.138","443","UDP","75","","53035  >  443 Len=33"
"73","1.081210","172.217.28.110","443","192.168.1.41","54547","QUIC","71","","Protected Payload (KP0)"
"74","1.081440","192.168.1.41","54547","172.217.28.110","443","QUIC","74","","Protected Payload (KP0), DCID=e9df976726c2c7c9"
"75","1.132128","142.250.218.138","443","192.168.1.41","53035","UDP","127","","443  >  53035 Len=85"
"76","1.132578","192.168.1.41","53035","142.250.218.138","443","UDP","78","","53035  >  443 Len=36"
"77","1.152157","8.8.8.8","443","192.168.1.41","60675","TLSv1.3","1514","","Server Hello, Change Cipher Spec"
"78","1.152157","8.8.8.8","443","192.168.1.41","60675","TCP","1394","","443  >  60675 [PSH, ACK] Seq=1461 Ack=1785 Win=20480 Len=1340 [TCP segment of a reassembled PDU]"
"79","1.152283","192.168.1.41","60675","8.8.8.8","443","TCP","54","","60675  >  443 [ACK] Seq=1785 Ack=2801 Win=65536 Len=0"
"80","1.154745","8.8.8.8","443","192.168.1.41","60675","TCP","1454","","443  >  60675 [PSH, ACK] Seq=2801 Ack=1785 Win=20480 Len=1400 [TCP segment of a reassembled PDU]"
"81","1.154745","8.8.8.8","443","192.168.1.41","60675","TLSv1.3","1342","","Application Data"
"82","1.154853","192.168.1.41","60675","8.8.8.8","443","TCP","54","","60675  >  443 [ACK] Seq=1785 Ack=5489 Win=65536 Len=0"
"83","1.157528","172.217.28.110","443","192.168.1.41","54547","QUIC","603","","Protected Payload (KP0)"
"84","1.157988","192.168.1.41","54547","172.217.28.110","443","QUIC","77","","Protected Payload (KP0), DCID=e9df976726c2c7c9"
"85","1.159520","172.217.28.110","443","192.168.1.41","54547","QUIC","232","","Protected Payload (KP0)"
"86","1.198708","192.168.1.41","54547","172.217.28.110","443","QUIC","74","","Protected Payload (KP0), DCID=e9df976726c2c7c9"
"87","1.231195","142.250.218.138","443","192.168.1.41","53035","UDP","67","","443  >  53035 Len=25"
"88","1.260166","172.217.28.110","443","192.168.1.41","54547","QUIC","66","","Protected Payload (KP0)"
"89","1.278279","192.168.1.41","49415","52.226.139.185","443","TLSv1.2","153","","Application Data"
"90","1.285455","52.226.139.185","443","192.168.1.41","49415","TCP","54","","443  >  49415 [ACK] Seq=1 Ack=100 Win=209 Len=0"
"91","1.293855","192.168.1.41","60613","52.112.127.143","443","TLSv1.2","110","","Application Data"
"92","1.305445","52.112.127.143","443","192.168.1.41","60613","TCP","54","","443  >  60613 [ACK] Seq=1 Ack=57 Win=320 Len=0"
"93","1.330657","192.168.1.43","1900","239.255.255.250","1900","SSDP","547","","NOTIFY * HTTP/1.1 "
"94","1.335147","fe80::103c:1ae1:8556:446f","1900","ff02::c","1900","SSDP","576","","NOTIFY * HTTP/1.1 "
"95","1.343953","192.168.1.41","64038","8.8.8.8","53","DNS","85","","Standard query 0x78b9 A searchhighlights.bing.com"
"96","1.387076","192.168.1.41","60651","20.69.137.228","443","TCP","1514","","60651  >  443 [ACK] Seq=1 Ack=1 Win=253 Len=1460 [TCP segment of a reassembled PDU]"
"97","1.387076","192.168.1.41","60651","20.69.137.228","443","TLSv1.2","231","","Application Data"
"98","1.394043","8.8.8.8","53","192.168.1.41","64038","DNS","174","","Standard query response 0x78b9 A searchhighlights.bing.com CNAME searchhighlights-bing-com.b-0005.b-msedge.net CNAME b-0005.b-msedge.net A 13.107.6.158"
"99","1.394043","52.226.139.185","443","192.168.1.41","49415","TLSv1.2","223","","Application Data"
"100","1.394043","52.112.127.143","443","192.168.1.41","60613","TLSv1.2","99","","Application Data"
"101","1.395397","192.168.1.41","60676","13.107.6.158","443","TCP","66","","60676  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"102","1.396272","20.69.137.228","443","192.168.1.41","60651","TCP","54","","443  >  60651 [ACK] Seq=1 Ack=1461 Win=451 Len=0"
"103","1.396272","20.69.137.228","443","192.168.1.41","60651","TCP","54","","443  >  60651 [ACK] Seq=1 Ack=1638 Win=473 Len=0"
"104","1.401776","13.107.6.158","443","192.168.1.41","60676","TCP","66","","443  >  60676 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460 SACK_PERM WS=128"
"105","1.401980","192.168.1.41","60676","13.107.6.158","443","TCP","54","","60676  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"106","1.404344","192.168.1.41","60676","13.107.6.158","443","TLSv1.3","804","","Client Hello (SNI=searchhighlights.bing.com)"
"107","1.406789","13.107.6.158","443","192.168.1.41","60676","TCP","54","","443  >  60676 [ACK] Seq=1 Ack=751 Win=16128 Len=0"
"108","1.435886","192.168.1.41","49415","52.226.139.185","443","TCP","54","","49415  >  443 [ACK] Seq=100 Ack=170 Win=254 Len=0"
"109","1.436017","192.168.1.41","60613","52.112.127.143","443","TCP","54","","60613  >  443 [ACK] Seq=57 Ack=46 Win=255 Len=0"
"110","1.436059","192.168.1.41","53035","142.250.218.138","443","UDP","71","","53035  >  443 Len=29"
"111","1.750761","192.168.1.43","56733","239.255.255.250","1900","SSDP","217","","M-SEARCH * HTTP/1.1 "
"112","1.750761","fe80::103c:1ae1:8556:446f","59793","ff02::c","1900","SSDP","189","","M-SEARCH * HTTP/1.1 "
"113","1.751207","192.168.1.43","59799","239.255.255.250","1900","SSDP","175","","M-SEARCH * HTTP/1.1 "
"114","1.751207","142.250.218.138","443","192.168.1.41","53035","UDP","67","","443  >  53035 Len=25"
"115","1.751207","fe80::103c:1ae1:8556:446f","59793","ff02::c","1900","SSDP","183","","M-SEARCH * HTTP/1.1 "
"116","1.751207","192.168.1.43","59799","239.255.255.250","1900","SSDP","169","","M-SEARCH * HTTP/1.1 "
"117","1.751207","fe80::103c:1ae1:8556:446f","59793","ff02::c","1900","SSDP","183","","M-SEARCH * HTTP/1.1 "
"118","1.751207","192.168.1.43","59799","239.255.255.250","1900","SSDP","169","","M-SEARCH * HTTP/1.1 "
"119","1.960968","192.168.1.41","53035","142.250.218.138","443","UDP","71","","53035  >  443 Len=29"
"120","1.965008","Routerboardc_5e:b9:50","","Broadcast","","ARP","42","","Who has 192.168.1.44? Tell 192.168.1.1"
"121","1.965008","192.168.1.43","59799","239.255.255.250","1900","SSDP","179","","M-SEARCH * HTTP/1.1 "
"122","1.965008","20.69.137.228","443","192.168.1.41","60651","TCP","2974","","443  >  60651 [PSH, ACK] Seq=1 Ack=1638 Win=473 Len=2920 [TCP segment of a reassembled PDU]"
"123","1.965272","192.168.1.41","60651","20.69.137.228","443","TCP","54","","60651  >  443 [ACK] Seq=1638 Ack=2921 Win=256 Len=0"
"124","1.965384","192.168.1.43","1900","239.255.255.250","1900","SSDP","539","","NOTIFY * HTTP/1.1 "
"125","1.965384","fe80::103c:1ae1:8556:446f","1900","ff02::c","1900","SSDP","568","","NOTIFY * HTTP/1.1 "
"126","1.965384","20.69.137.228","443","192.168.1.41","60651","TCP","11734","","443  >  60651 [PSH, ACK] Seq=2921 Ack=1638 Win=473 Len=11680 [TCP segment of a reassembled PDU]"
"127","1.965384","13.107.6.158","443","192.168.1.41","60676","TLSv1.3","153","","Hello Retry Request, Change Cipher Spec"
"128","1.965570","192.168.1.41","60651","20.69.137.228","443","TCP","54","","60651  >  443 [ACK] Seq=1638 Ack=14601 Win=256 Len=0"
"129","1.965621","192.168.1.41","60676","13.107.6.158","443","TCP","54","","60676  >  443 [ACK] Seq=751 Ack=100 Win=261888 Len=0"
"130","1.968852","20.69.137.228","443","192.168.1.41","60651","TLSv1.2","4434","","Application Data"
"131","1.968967","192.168.1.41","60651","20.69.137.228","443","TCP","54","","60651  >  443 [ACK] Seq=1638 Ack=18981 Win=256 Len=0"
"132","1.975891","192.168.1.41","60676","13.107.6.158","443","TLSv1.3","875","","Change Cipher Spec, Client Hello (SNI=searchhighlights.bing.com)"
"133","1.976330","20.69.137.228","443","192.168.1.41","60651","TCP","2974","","443  >  60651 [ACK] Seq=18981 Ack=1638 Win=473 Len=2920 [TCP segment of a reassembled PDU]"
"134","1.976330","20.69.137.228","443","192.168.1.41","60651","TLSv1.2","1001","","Application Data"
"135","1.976441","192.168.1.41","60651","20.69.137.228","443","TCP","54","","60651  >  443 [ACK] Seq=1638 Ack=22848 Win=256 Len=0"
"136","1.982618","13.107.6.158","443","192.168.1.41","60676","TCP","54","","443  >  60676 [ACK] Seq=100 Ack=1572 Win=17792 Len=0"
"137","2.008367","192.168.1.41","60677","8.8.8.8","443","TCP","66","","60677  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"138","2.012697","8.8.8.8","443","192.168.1.41","60677","TCP","66","","443  >  60677 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460 SACK_PERM WS=128"
"139","2.012869","192.168.1.41","60677","8.8.8.8","443","TCP","54","","60677  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"140","2.013539","192.168.1.41","60677","8.8.8.8","443","TCP","1514","","60677  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"141","2.013539","192.168.1.41","60677","8.8.8.8","443","TLSv1.3","314","","Client Hello (SNI=dns.google)"
"142","2.017103","8.8.8.8","443","192.168.1.41","60677","TCP","54","","443  >  60677 [ACK] Seq=1 Ack=1461 Win=17536 Len=0"
"143","2.017103","8.8.8.8","443","192.168.1.41","60677","TCP","54","","443  >  60677 [ACK] Seq=1 Ack=1721 Win=20480 Len=0"
"144","2.157171","192.168.1.41","60651","20.69.137.228","443","TCP","1514","","60651  >  443 [ACK] Seq=1638 Ack=22848 Win=256 Len=1460 [TCP segment of a reassembled PDU]"
"145","2.157171","192.168.1.41","60651","20.69.137.228","443","TLSv1.2","228","","Application Data"
"146","2.158374","Routerboardc_5e:b9:50","","Broadcast","","ARP","42","","Who has 192.168.1.250? Tell 192.168.1.1"
"147","2.158374","13.107.6.158","443","192.168.1.41","60676","TLSv1.3","2974","","Server Hello"
"148","2.158518","192.168.1.41","60676","13.107.6.158","443","TCP","54","","60676  >  443 [ACK] Seq=1572 Ack=3020 Win=262144 Len=0"
"149","2.158688","13.107.6.158","443","192.168.1.41","60676","TCP","2974","","443  >  60676 [PSH, ACK] Seq=3020 Ack=1572 Win=17792 Len=2920 [TCP segment of a reassembled PDU]"
"150","2.158688","13.107.6.158","443","192.168.1.41","60676","TLSv1.3","1447","","Application Data"
"151","2.158688","142.250.218.138","443","192.168.1.41","53035","UDP","67","","443  >  53035 Len=25"
"152","2.158688","8.8.8.8","443","192.168.1.41","60677","TLSv1.3","1514","","Server Hello, Change Cipher Spec"
"153","2.158688","8.8.8.8","443","192.168.1.41","60677","TCP","1394","","443  >  60677 [PSH, ACK] Seq=1461 Ack=1721 Win=20480 Len=1340 [TCP segment of a reassembled PDU]"
"154","2.158688","8.8.8.8","443","192.168.1.41","60677","TCP","1514","","443  >  60677 [ACK] Seq=2801 Ack=1721 Win=20480 Len=1460 [TCP segment of a reassembled PDU]"
"155","2.158688","8.8.8.8","443","192.168.1.41","60677","TLSv1.3","1282","","Application Data"
"156","2.158758","192.168.1.41","60676","13.107.6.158","443","TCP","54","","60676  >  443 [ACK] Seq=1572 Ack=7333 Win=262144 Len=0"
"157","2.158899","192.168.1.41","60677","8.8.8.8","443","TCP","54","","60677  >  443 [ACK] Seq=1721 Ack=5489 Win=65536 Len=0"
"158","2.161675","20.69.137.228","443","192.168.1.41","60651","TCP","54","","443  >  60651 [ACK] Seq=22848 Ack=3098 Win=496 Len=0"
"159","2.161675","20.69.137.228","443","192.168.1.41","60651","TCP","54","","443  >  60651 [ACK] Seq=22848 Ack=3272 Win=519 Len=0"
"160","2.162770","192.168.1.41","60676","13.107.6.158","443","TLSv1.3","128","","Application Data"
"161","2.163445","192.168.1.41","60676","13.107.6.158","443","TLSv1.3","134","","Application Data"
"162","2.163608","192.168.1.41","60676","13.107.6.158","443","TLSv1.3","546","","Application Data"
"163","2.168573","13.107.6.158","443","192.168.1.41","60676","TCP","54","","443  >  60676 [ACK] Seq=7333 Ack=1646 Win=17792 Len=0"
"164","2.168573","13.107.6.158","443","192.168.1.41","60676","TCP","54","","443  >  60676 [ACK] Seq=7333 Ack=1726 Win=17792 Len=0"
"165","2.168573","13.107.6.158","443","192.168.1.41","60676","TCP","54","","443  >  60676 [ACK] Seq=7333 Ack=2218 Win=19456 Len=0"
"166","2.373397","192.168.1.41","53035","142.250.218.138","443","UDP","71","","53035  >  443 Len=29"
"167","2.375049","13.107.6.158","443","192.168.1.41","60676","TLSv1.3","513","","Application Data"
"168","2.375049","13.107.6.158","443","192.168.1.41","60676","TLSv1.3","116","","Application Data"
"169","2.375049","13.107.6.158","443","192.168.1.41","60676","TLSv1.3","85","","Application Data"
"170","2.375049","13.107.6.158","443","192.168.1.41","60676","TLSv1.3","655","","Application Data"
"171","2.375049","20.69.137.228","443","192.168.1.41","60651","TLSv1.2","444","","Application Data"
"172","2.375292","192.168.1.41","60676","13.107.6.158","443","TCP","54","","60676  >  443 [ACK] Seq=2218 Ack=8486 Win=260864 Len=0"
"173","2.377271","192.168.1.41","60676","13.107.6.158","443","TLSv1.3","85","","Application Data"
"174","2.379620","192.168.1.41","60676","13.107.6.158","443","TCP","1514","","60676  >  443 [ACK] Seq=2249 Ack=8486 Win=260864 Len=1460 [TCP segment of a reassembled PDU]"
"175","2.379620","192.168.1.41","60676","13.107.6.158","443","TCP","1514","","60676  >  443 [ACK] Seq=3709 Ack=8486 Win=260864 Len=1460 [TCP segment of a reassembled PDU]"
"176","2.379620","192.168.1.41","60676","13.107.6.158","443","TLSv1.3","1321","","Application Data"
"177","2.379911","192.168.1.41","60676","13.107.6.158","443","TLSv1.3","247","","Application Data"
"178","2.379989","192.168.1.41","60676","13.107.6.158","443","TLSv1.3","85","","Application Data"
"179","2.384248","13.107.6.158","443","192.168.1.41","60676","TCP","54","","443  >  60676 [ACK] Seq=8486 Ack=2249 Win=19456 Len=0"
"180","2.384650","192.168.1.41","60651","20.69.137.228","443","TCP","1514","","60651  >  443 [ACK] Seq=3272 Ack=23238 Win=255 Len=1460 [TCP segment of a reassembled PDU]"
"181","2.384650","192.168.1.41","60651","20.69.137.228","443","TLSv1.2","228","","Application Data"
"182","2.386100","13.107.6.158","443","192.168.1.41","60676","TCP","54","","443  >  60676 [ACK] Seq=8486 Ack=3709 Win=22400 Len=0"
"183","2.386100","13.107.6.158","443","192.168.1.41","60676","TCP","54","","443  >  60676 [ACK] Seq=8486 Ack=5169 Win=25344 Len=0"
"184","2.386100","13.107.6.158","443","192.168.1.41","60676","TCP","54","","443  >  60676 [ACK] Seq=8486 Ack=6436 Win=28160 Len=0"
"185","2.386100","13.107.6.158","443","192.168.1.41","60676","TCP","54","","443  >  60676 [ACK] Seq=8486 Ack=6629 Win=31104 Len=0"
"186","2.386100","13.107.6.158","443","192.168.1.41","60676","TCP","54","","443  >  60676 [ACK] Seq=8486 Ack=6660 Win=31104 Len=0"
"187","2.388693","20.69.137.228","443","192.168.1.41","60651","TCP","54","","443  >  60651 [ACK] Seq=23238 Ack=4732 Win=542 Len=0"
"188","2.388693","20.69.137.228","443","192.168.1.41","60651","TCP","54","","443  >  60651 [ACK] Seq=23238 Ack=4906 Win=565 Len=0"
"189","2.761287","192.168.1.43","5353","224.0.0.251","5353","MDNS","82","","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"190","2.761287","fe80::103c:1ae1:8556:446f","5353","ff02::fb","5353","MDNS","102","","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"191","2.761287","192.168.1.43","1900","239.255.255.250","1900","SSDP","483","","NOTIFY * HTTP/1.1 "
"192","2.762039","fe80::103c:1ae1:8556:446f","1900","ff02::c","1900","SSDP","512","","NOTIFY * HTTP/1.1 "
"193","2.762039","192.168.1.43","5353","224.0.0.251","5353","MDNS","82","","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"194","2.762039","fe80::103c:1ae1:8556:446f","5353","ff02::fb","5353","MDNS","102","","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"195","2.762039","142.250.218.138","443","192.168.1.41","53035","UDP","67","","443  >  53035 Len=25"
"196","2.762039","13.107.6.158","443","192.168.1.41","60676","TLSv1.3","585","","Application Data"
"197","2.762039","13.107.6.158","443","192.168.1.41","60676","TLSv1.3","87","","Application Data"
"198","2.762039","192.168.1.43","50962","239.255.255.250","1900","SSDP","217","","M-SEARCH * HTTP/1.1 "
"199","2.762039","13.107.6.158","443","192.168.1.41","60676","TLSv1.3","117","","Application Data, Application Data"
"200","2.762039","20.69.137.228","443","192.168.1.41","60651","TLSv1.2","444","","Application Data"
"201","2.762395","192.168.1.41","60676","13.107.6.158","443","TCP","54","","60676  >  443 [ACK] Seq=6660 Ack=9050 Win=262144 Len=0"
"202","2.762545","192.168.1.41","60676","13.107.6.158","443","TCP","54","","60676  >  443 [ACK] Seq=6660 Ack=9113 Win=261888 Len=0"
"203","2.764367","Routerboardc_5e:b9:50","","Broadcast","","ARP","42","","Who has 192.168.1.44? Tell 192.168.1.1"
"204","2.795117","192.168.1.41","60651","20.69.137.228","443","TCP","1514","","60651  >  443 [ACK] Seq=4906 Ack=23628 Win=253 Len=1460 [TCP segment of a reassembled PDU]"
"205","2.795117","192.168.1.41","60651","20.69.137.228","443","TLSv1.2","615","","Application Data"
"206","2.802672","20.69.137.228","443","192.168.1.41","60651","TCP","54","","443  >  60651 [ACK] Seq=23628 Ack=6366 Win=588 Len=0"
"207","2.802672","20.69.137.228","443","192.168.1.41","60651","TCP","54","","443  >  60651 [ACK] Seq=23628 Ack=6927 Win=610 Len=0"
"208","2.977603","192.168.1.41","53035","142.250.218.138","443","UDP","71","","53035  >  443 Len=29"
"209","2.982203","Routerboardc_5e:b9:50","","Spanning-tree-(for-bridges)_00","","0x2f00","61","","Ethernet II"
"210","2.984360","20.69.137.228","443","192.168.1.41","60651","TLSv1.2","444","","Application Data"
"211","3.024616","192.168.1.41","60651","20.69.137.228","443","TCP","54","","60651  >  443 [ACK] Seq=6927 Ack=24018 Win=252 Len=0"
"212","3.026156","192.168.1.41","60651","20.69.137.228","443","TCP","1514","","60651  >  443 [ACK] Seq=6927 Ack=24018 Win=252 Len=1460 [TCP segment of a reassembled PDU]"
"213","3.026156","192.168.1.41","60651","20.69.137.228","443","TLSv1.2","231","","Application Data"
"214","3.031452","20.69.137.228","443","192.168.1.41","60651","TCP","54","","443  >  60651 [ACK] Seq=24018 Ack=8387 Win=633 Len=0"
"215","3.031452","20.69.137.228","443","192.168.1.41","60651","TCP","54","","443  >  60651 [ACK] Seq=24018 Ack=8564 Win=656 Len=0"
"216","3.370226","142.250.218.138","443","192.168.1.41","53035","UDP","67","","443  >  53035 Len=25"
"217","3.370226","20.69.137.228","443","192.168.1.41","60651","TCP","1514","","443  >  60651 [ACK] Seq=24018 Ack=8564 Win=656 Len=1460 [TCP segment of a reassembled PDU]"
"218","3.370226","20.69.137.228","443","192.168.1.41","60651","TLSv1.2","380","","Application Data"
